id_str,text,created_at,place
1.24327E+18,RT   hankins  Very excited and blessed to announce that i ve decided to further my education and softball career at Lamar University,2020-03-26 20:30,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:30,None
1.24327E+18,In these changing times we will continue to support your education journey   Our Virtual undergraduate open day is,2020-03-26 20:30,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:30,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:30,None
1.24327E+18,Russian single Arina   This year I am finishing the University of Physical Education and Sports  My job is my hobby,2020-03-26 20:30,None
1.24327E+18,RT    If university and college officials were worried that some of their students might not come back once they were moved,2020-03-26 20:30,None
1.24327E+18,NCAA announces lowers payments to colleges and universities  Ohio University pauses personnel cuts and more updates,2020-03-26 20:30,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:29,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:29,None
1.24327E+18,RT                         Why there is no direct and complete decision about the education in Egypt during the  COVID2019 e,2020-03-26 20:29,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:28,None
1.24327E+18,RT    I hope that  COVID19 serves as a reminder that Canada s public health system requires massive investments  and a strengt,2020-03-26 20:28,None
1.24327E+18,RT    Lesson plan I developed  Slavery and its Gradual Abolition in Upper Canada  to explore the history of slavery in Canada,2020-03-26 20:28,None
1.24327E+18,RT    I m happy to announce that I will be continuing my education and playing hockey at Wesleyan University  A huge thanks go o,2020-03-26 20:28,None
1.24327E+18,Why there is no direct and complete decision about the education in Egypt during the,2020-03-26 20:27,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:27,None
1.24327E+18,RT     The Vice Chancellor can t ignore his own survey data  though  He needs to work much more closely with UCU on real action to resto,2020-03-26 20:26,None
1.24327E+18,RT    HU Facts  Howard University operates a world class medical simulation center  6 000 square foot state of the art simulated lea,2020-03-26 20:26,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:26,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:26,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:26,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:25,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:25,None
1.24327E+18,The fact that Wall Street is getting more relief money than hospitals and education is insane to me    I would like,2020-03-26 20:25,None
1.24327E+18,I  lt 3 Brown University  Where students will touch advisors to create vegan education,2020-03-26 20:25,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:25,None
1.24327E+18,RT    Only essential services to be available   Schools  colleges  University   all type of education is missing from the Ess,2020-03-26 20:25,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:24,None
1.24327E+18,RT    Students Pen Open Letter to Governing Authority Over COVID 19 Financial Fallout  The student group Fix Our Education UC,2020-03-26 20:24,None
1.24327E+18,We re hiring in Edmond  OK  Click the link in our bio to apply to this job and more  SLP Adjunct Clinical Superviso,2020-03-26 20:24,"Place(_api=<tweepy.api.API object at 0x0000022D6BF6DC10>, id='62ff27569714ddb3', url='https://api.twitter.com/1.1/geo/id/62ff27569714ddb3.json', place_type='city', name='Edmond', full_name='Edmond, OK', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D6BF6DC10>, type='Polygon', coordinates=[[[-97.557572, 35.606823], [-97.35391, 35.606823], [-97.35391, 35.7836212], [-97.557572, 35.7836212]]]), attributes={})"
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:24,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:24,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:24,None
1.24327E+18,Chest Foundation  Hot off the press  COVID 19 Resources  Care Recommendations for Home Based Ventilatio,2020-03-26 20:24,None
1.24327E+18,My university asked us all to identify  alternate instructors  for our courses in the event one of us gets too sick,2020-03-26 20:24,None
1.24327E+18,RT    Who the F amp  amp   cares  There s a pandemic on  Oh I forgot  Ideological causes don t stop during a pandemic for the UCP  s,2020-03-26 20:23,None
1.24327E+18,I m very excited and honoured to announce that I have committed to continue my education as well as my hockey caree,2020-03-26 20:23,None
1.24327E+18,RT   7  Here is another piece from isolation   to   for a kind invitation to put this together     Coronavirus Pandemi,2020-03-26 20:23,None
1.24327E+18,RT    I m happy to announce that I will be continuing my education and playing hockey at Wesleyan University  A huge thanks go o,2020-03-26 20:23,None
1.24327E+18,So proud to be a   Bear right now    via,2020-03-26 20:22,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:22,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:22,None
1.24327E+18,RT    I want to thank everyone who supported me up to this point     I made my decision on committing to Laroche University to f,2020-03-26 20:22,None
